,crops,commodity,variety,2014-15,2015-16
1,KHARIF CROPS,PADDY,Common,1360,1410
2,KHARIF CROPS,PADDY,Grade 'A',1400,1450
3,KHARIF CROPS,JOWAR,Hybrid,1530,1570
4,KHARIF CROPS,JOWAR,Maldandi,1550,1590
5,KHARIF CROPS,BAJRA,NA,1250,1275
6,KHARIF CROPS,MAIZE,NA,1310,1325
7,KHARIF CROPS,RAGI,NA,1550,1650
8,KHARIF CROPS,ARHAR(Tur),NA,4350,4625^
9,KHARIF CROPS,MOONG,NA,4600,4850^
10,KHARIF CROPS,URAD,NA,4350,4625^
11,KHARIF CROPS,COTTON,Medium Staple,3750,3800
12,KHARIF CROPS,COTTON,Long Staple,4050,4100
13,KHARIF CROPS,GROUNDNUT IN SHELL,NA,4000,4030
14,KHARIF CROPS,SUNFLOWER SEED,NA,3750,3800
15,KHARIF CROPS,SOYABEEN,Black,2500,NA
16,KHARIF CROPS,SOYABEEN,Yellow$$,2560,2600
17,KHARIF CROPS,SESAMUM,NA,4600,4700
18,KHARIF CROPS,NIGERSEED,NA,3600,3650
19,RABI CROPS,WHEAT,NA,1450,1525
20,RABI CROPS,BARLEY,NA,1150,1225
21,RABI CROPS,GRAM,NA,3175,3500**
22,RABI CROPS,MASUR (LENTIL),NA,3075,3400**
23,RABI CROPS,RAPESEED/MUSTARD,NA,3100,3350
24,RABI CROPS,SAFFLOWER,NA,3050,3300
25,RABI CROPS,TORIA,NA,3020,3290
26,OTHER CROPS,COPRA,Milling,5250,5550
27,OTHER CROPS,(Calender Year),Ball,5500,5830
28,OTHER CROPS,DE-HUSKED COCONUT (Calender Year),NA,1425,1500
29,OTHER CROPS,JUTE,NA,2400,2700
30,OTHER CROPS,SUGARCANE$,NA,220,230
