,5.5 : MINIMUM SUPPORT PRICE/PROCUREMENT PRICE FOR CROPS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,Commodities,2012-13,2012-13,2012-13,2012-13,2012-13,2012-13,2012-13,2012-13,2012-13,2012-13,2012-13,2012-13
1,Paddy (Common),1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250
2,Paddy (Fine ),...,...,...,...,...,...,...,...,...,...,...,...
3,Paddy (Super fine),...,...,...,...,...,...,...,...,...,...,...,...
4,Paddy (Grade A),1280,1280,1280,1280,1280,1280,1280,1280,1280,1280,1280,1280
5,Wheat,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350
6,Jowar (Hybrid),1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
7,Jowar (Maldandi),1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520
8,Bajra,1175,1175,1175,1175,1175,1175,1175,1175,1175,1175,1175,1175
9,Ragi,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
10,Maize,1175,1175,1175,1175,1175,1175,1175,1175,1175,1175,1175,1175
11,Barley,980,980,980,980,980,980,980,980,980,980,980,980
12,Gram,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
13,Masur,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900
14,Arhar,3850,3850,3850,3850,3850,3850,3850,3850,3850,3850,3850,3850
15,Moong,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400
16,Urad,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300
17,Sugarcane (Statutory minimum price) a,170.00,170.00,170.00,170.00,170.00,170.00,170.00,170.00,170.00,170.00,170.00,170.00
18,Cotton F-414/H-777,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
19,Cotton H-4 750,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900
20,Groundnut,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700
21,Jute(TD-5),2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200
22,Rapeseed/ mustard,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
23,Sunflower,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700
24,Soyabean (Black),2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200
25,Soyabean (Yellow),2240,2240,2240,2240,2240,2240,2240,2240,2240,2240,2240,2240
26,Safflower,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800
27,Toria,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
28,Copra (milling),5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100
29,Copra balls,5350,5350,5350,5350,5350,5350,5350,5350,5350,5350,5350,5350
30,Sesamum,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200
31,Niger seed,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500
32,a Statutory Minimum Price (SMP) upto 2008-09. Fair and Remunerative Price (FRP) from 2009-10 onwards.,,,,,,,,,,,,
33,b Including Special onetime drought relief (SDR) price announced for 2002-03.,,,,,,,,,,,,
34,"c An additional incentive bonus of Rs. 40 per quintal was payable on procurement between January 10, 2006 to March 31, 2007.",,,,,,,,,,,,
35,d A bonus of Rs. 40 per quintal was payable over and above the MSP.,,,,,,,,,,,,
36,e Medium staple.,,,,,,,,,,,,
37,f Long staple.,,,,,,,,,,,,
38,g An incentive bonus of Rs. 50 per quintal is payable on wheat over the Minimum Support Price (MSP).,,,,,,,,,,,,
39,h An additional incentive bonus of Rs. 100 per quintal was payable over the Minimum Support Price (MSP).,,,,,,,,,,,,
40,i Staple length (mm) of 24.5-25.5 and micronaire value of 4.3-5.1,,,,,,,,,,,,
41,j Staple length (mm) of 29.5-30.5 and micronaire value of 3.5-4.3,,,,,,,,,,,,
42,k  An additional incentive bonus of Rs. 50 per quintal was payble over the MSP.,,,,,,,,,,,,
43,"l Additional incentive at the rate of Rs. 500 per quintal of tur, urad and moong sold to procurement agencies .",,,,,,,,,,,,
44,"m At 9.5 percent recovery, subject to a premium of Rs.1.53 for every 0.1 percent increase in the recovery above 9.5 percent.",,,,,,,,,,,,
